time,cycle,date('now'),length(ViralPeople),length(building),length(building where (each.type = 'residential')),length(building where (each.type = 'shopping')),length(building where (each.type = 'business')),length(people where (each.macroTrip = false)),length(people where (each.macroTrip = true)),PANDEMIC_LEVEL,CITY_EFFICIENCY,SAFETY_LEVEL,nb_susceptible,nb_infected,nb_recovered,nb_death
0.0,0,date ('2020-06-05 09:57:18'),0,30,10,10,10,100,0,0.0,1.0,0.0,0,0,0,0
3600.0,60,date ('2020-06-05 09:58:18'),100,30,10,10,10,67,33,0.0,0.67,0.0,100,0,0,0
7200.0,120,date ('2020-06-05 09:58:21'),99,30,10,10,10,63,36,0.01,0.63,0.0,98,1,0,1
10800.0,180,date ('2020-06-05 09:58:24'),98,30,10,10,10,69,29,0.0,0.69,0.0,98,0,0,2
14400.0,240,date ('2020-06-05 09:58:27'),98,30,10,10,10,66,32,0.0,0.66,0.0,98,0,0,2
18000.0,300,date ('2020-06-05 09:58:31'),98,30,10,10,10,65,33,0.0,0.65,0.0,98,0,0,2
21600.0,360,date ('2020-06-05 09:58:34'),98,30,10,10,10,64,34,0.0,0.64,0.0,98,0,0,2
25200.0,420,date ('2020-06-05 09:58:37'),97,30,10,10,10,68,29,0.0,0.68,0.0,97,0,0,3
28800.0,480,date ('2020-06-05 09:58:40'),97,30,10,10,10,66,31,0.0,0.66,0.0,97,0,0,3
32400.0,540,date ('2020-06-05 09:58:43'),97,30,10,10,10,62,35,0.0,0.62,0.0,97,0,0,3
