Id,Id2,Geography,Estimate; Total:,total," < $30,000","$30,000 - $44,999","$45,000 - $59,999","$60,000 - $99,999","$100,000 - $124,999","$125,000 - $149,999","$150,000 - $199,999",">$200,000",diversity,normalised_diversity
1500000US250173531022,250173531022,"Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts",225,225,38,14,7,41,64,23,18,20,1.89930429608406,0.925403640649519
1500000US250173531021,250173531021,"Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts",14,14,5,0,4,0,0,5,0,0,1.09337471755665,0.532728192268711
1500000US250173531012,250173531012,"Block Group 2, Census Tract 3531.01, Middlesex County, Massachusetts",340,340,65,23,12,71,26,43,34,66,1.95019186363653,0.950197740454347
1500000US250173529001,250173529001,"Block Group 1, Census Tract 3529, Middlesex County, Massachusetts",438,438,106,11,33,86,66,31,22,83,1.88838893385443,0.92008531647833
1500000US250173528002,250173528002,"Block Group 2, Census Tract 3528, Middlesex County, Massachusetts",720,720,107,61,15,177,98,71,95,96,1.95379557041745,0.951953585150626
1500000US250173528001,250173528001,"Block Group 1, Census Tract 3528, Middlesex County, Massachusetts",160,160,11,7,28,41,0,7,30,36,1.76129647559868,0.858161682750201
1500000US250173530002,250173530002,"Block Group 2, Census Tract 3530, Middlesex County, Massachusetts",207,207,60,25,0,69,17,0,10,26,1.59268543123785,0.776008825713582
1500000US250173530004,250173530004,"Block Group 4, Census Tract 3530, Middlesex County, Massachusetts",1060,1060,241,70,112,131,145,80,89,192,1.99671312804999,0.972864433487474
1500000US250173524001,250173524001,"Block Group 1, Census Tract 3524, Middlesex County, Massachusetts",109,109,11,14,5,17,19,4,10,29,1.92343581732353,0.937161313001156
1500000US250173524002,250173524002,"Block Group 2, Census Tract 3524, Middlesex County, Massachusetts",639,639,225,119,33,89,71,22,45,35,1.81420512410143,0.883940519794501
1500000US250173525001,250173525001,"Block Group 1, Census Tract 3525, Middlesex County, Massachusetts",532,532,109,53,83,77,98,11,60,41,1.95965106849617,0.954806576770262
