kendallBlockWorkersValid1,kendallBlockWorkersValid2,kendallBlockWorkersValid3
a250092033012,1,<$30000
250092033021,1,>$200000
250092041012,1,<$30000
250092042003,1,$60000 - $99999
250092043001,1,<$30000
250092044002,1,$60000 - $99999
250092046004,1,$60000 - $99999
250092047022,1,$60000 - $99999
250092047023,1,<$30000
250092051002,1,$60000 - $99999
250092052003,1,$60000 - $99999
250092054001,1,$60000 - $99999
250092059003,1,$60000 - $99999
250092062002,1,<$30000
250092063001,1,$60000 - $99999
250092063002,1,$60000 - $99999
250092065002,1,$60000 - $99999
250092067003,1,<$30000
250092071001,1,<$30000
250092082003,1,<$30000
250092084001,1,$60000 - $99999
250092084002,1,$60000 - $99999
250092084003,1,$60000 - $99999
250092091001,1,$60000 - $99999
250092091005,1,$150000 - $199999
250092092002,1,>$200000
250092104001,1,<$30000
250092104003,1,$60000 - $99999
250092104004,1,$100000 - $124999
250092113003,2,$60000 - $99999
250092114011,1,$60000 - $99999
250092114023,2,$60000 - $99999
250092121002,1,>$200000
250092121004,1,$60000 - $99999
250092131005,1,>$200000
250092174003,1,<$30000
250092175003,1,$150000 - $199999
250092176003,2,>$200000
250092506004,1,$60000 - $99999
250092515003,1,<$30000
250092521023,2,$150000 - $199999
250092522011,1,$60000 - $99999
250092525023,1,$60000 - $99999
250092526021,1,<$30000
250092531001,1,<$30000
250092531003,1,$150000 - $199999
250092532011,1,<$30000
250092532022,1,$100000 - $124999
250092532042,1,>$200000
250092544011,1,>$200000
250092601003,2,<$30000
250092604022,2,$150000 - $199999
250092606002,1,<$30000
250092610001,1,<$30000
250092610002,1,$60000 - $99999
250092611022,2,$60000 - $99999
250092641003,1,$60000 - $99999
250092651011,1,<$30000
250092651014,1,$150000 - $199999
250092671011,1,$60000 - $99999
250092671013,1,$60000 - $99999
250092683001,1,<$30000
250092691004,1,$60000 - $99999
250092701002,1,>$200000
250173103003,1,<$30000
250173114003,1,<$30000
250173115002,1,<$30000
250173116002,1,$60000 - $99999
250173119002,1,<$30000
250173123003,1,$60000 - $99999
250173141022,1,<$30000
250173142001,2,<$30000
250173142003,1,$60000 - $99999
250173151002,1,$60000 - $99999
250173152004,2,$60000 - $99999
250173155002,2,$60000 - $99999
250173155005,1,<$30000
250173161011,1,>$200000
250173161012,1,$60000 - $99999
250173162021,3,$100000 - $124999
250173163004,1,$60000 - $99999
250173163005,1,>$200000
250173164002,1,$60000 - $99999
250173171021,1,>$200000
250173171032,1,>$200000
250173173022,1,<$30000
250173181001,1,$150000 - $199999
250173183002,1,$150000 - $199999
250173184001,1,>$200000
250173184002,1,>$200000
250173211001,1,<$30000
250173213002,1,$60000 - $99999
250173216001,1,$60000 - $99999
250173216003,1,$60000 - $99999
250173241011,1,>$200000
250173241012,1,$150000 - $199999
250173251007,1,$60000 - $99999
250173301002,2,>$200000
250173301005,1,>$200000
250173302002,1,$60000 - $99999
250173302003,1,$60000 - $99999
250173302004,2,$60000 - $99999
250173311012,2,$125000 - $149999
